n_qubits,n_states,quantum_queries,classical_queries,speedup_ratio,theoretical_speedup
1,2,1.110721,1.500000,1.350474,0.900316
2,4,1.570796,2.500000,1.591549,1.273240
3,8,2.221441,4.500000,2.025712,1.800633
4,16,3.141593,8.500000,2.705634,2.546479
5,32,4.442883,16.500000,3.713805,3.601265
6,64,6.283185,32.500000,5.172536,5.092958
7,128,8.885766,64.500000,7.258800,7.202531
8,256,12.566371,128.500000,10.225705,10.185916
9,512,17.771532,256.500000,14.433196,14.405061
10,1024,25.132741,512.500000,20.391727,20.371833
11,2048,35.543064,1024.500000,28.824190,28.810122
12,4096,50.265482,2048.500000,40.753613,40.743665
13,8192,71.086127,4096.500000,57.627278,57.620244
14,16384,100.530965,8192.500000,81.492304,81.487331
15,32768,142.172254,16384.500000,115.244005,115.240488
16,65536,201.061930,32768.500000,162.977149,162.974662
17,131072,284.344508,65536.500000,230.482735,230.480977
18,262144,402.123860,131072.500000,325.950567,325.949323
19,524288,568.689016,262144.500000,460.962833,460.961954
20,1048576,804.247719,524288.500000,651.899269,651.898647
